"ppt_ID","label","demo_age","demo_gender","demo_education","demo_income","comment"
1,"Housing Insecurity",24,2,2,3,NA
2,"The Homeless",52,1,2,3,NA
3,"Housing Insecurity",26,2,5,4,NA
4,"Housing Insecurity",33,2,5,3,NA
5,"The Homeless",21,1,5,1,NA
6,"The Homeless",34,2,3,2,NA
7,"The Homeless",53,2,5,2,NA
8,"The Homeless",20,1,2,1,NA
9,"Housing Insecurity",28,1,5,3,NA
10,"Housing Insecurity",49,2,3,3,NA
11,"The Homeless",38,2,4,4,NA
12,"The Homeless",26,2,2,3,NA
13,"The Homeless",27,2,6,3,NA
14,"Housing Insecurity",35,2,5,4,NA
15,"The Homeless",55,2,3,1,NA
16,"Housing Insecurity",38,2,3,3,NA
17,"Housing Insecurity",47,2,3,3,NA
18,"Housing Insecurity",28,2,5,3,NA
19,"The Homeless",37,2,5,2,NA
20,"Housing Insecurity",20,2,2,2,NA
21,"Housing Insecurity",37,2,3,2,NA
22,"Housing Insecurity",58,2,5,4,NA
23,"The Homeless",24,1,5,1,NA
24,"The Homeless",28,2,6,4,NA
25,"Housing Insecurity",56,2,5,5,NA
26,"The Homeless",29,2,4,2,NA
27,"The Homeless",23,2,3,3,"thank you for letting me participate!"
28,"Housing Insecurity",38,2,4,3,NA
29,"Housing Insecurity",40,1,2,3,NA
30,"Housing Insecurity",29,1,3,3,NA
31,"The Homeless",41,2,3,4,NA
32,"Housing Insecurity",23,1,6,4,"the survey was amazing"
33,"Housing Insecurity",64,1,7,4,NA
34,"Housing Insecurity",43,2,3,3,NA
35,"The Homeless",40,2,5,4,NA
36,"The Homeless",44,1,5,5,NA
37,"The Homeless",36,1,2,2,NA
38,"The Homeless",48,2,6,4,NA
39,"Housing Insecurity",28,2,5,1,NA
40,"The Homeless",31,1,5,3,NA
41,"Housing Insecurity",62,2,2,2,NA
42,"The Homeless",32,2,3,3,NA
43,"The Homeless",28,2,5,2,NA
44,"Housing Insecurity",46,2,5,2,NA
45,"Housing Insecurity",67,2,2,1,NA
46,"Housing Insecurity",33,1,5,4,NA
47,"The Homeless",26,2,3,4,NA
48,"The Homeless",32,1,4,3,NA
49,"The Homeless",30,1,3,1,"political correctness is a plague on the human soul."
50,"The Homeless",46,1,5,4,NA
51,"The Homeless",63,2,2,3,NA
52,"The Homeless",43,2,3,1,NA
53,"Housing Insecurity",44,1,5,4,"good"
54,"The Homeless",67,2,5,4,NA
55,"The Homeless",21,2,4,4,"n/a"
56,"Housing Insecurity",33,2,6,3,NA
57,"Housing Insecurity",24,1,6,1,NA
58,"Housing Insecurity",34,1,5,3,NA
59,"The Homeless",22,2,5,4,"this very educational"
60,"The Homeless",42,1,5,4,NA
61,"The Homeless",34,1,3,1,NA
62,"The Homeless",39,2,5,3,NA
63,"The Homeless",52,2,3,3,NA
64,"Housing Insecurity",27,1,5,3,NA
65,"Housing Insecurity",18,1,3,4,NA
66,"Housing Insecurity",25,1,5,4,"more studies"
68,"Housing Insecurity",38,2,5,3,NA
69,"Housing Insecurity",39,1,2,3,NA
70,"The Homeless",46,2,3,1,NA
71,"The Homeless",55,2,5,2,NA
72,"The Homeless",26,1,5,3,NA
73,"Housing Insecurity",74,1,5,2,NA
74,"Housing Insecurity",57,1,5,2,NA
75,"Housing Insecurity",28,2,3,2,NA
76,"Housing Insecurity",24,2,5,3,NA
77,"The Homeless",23,1,3,4,NA
78,"The Homeless",64,2,2,1,NA
79,"Housing Insecurity",39,2,2,3,NA
80,"The Homeless",25,2,2,1,NA
81,"Housing Insecurity",29,2,2,2,NA
82,"The Homeless",41,1,3,1,NA
83,"Housing Insecurity",52,2,5,4,NA
84,"Housing Insecurity",20,2,5,3,NA
85,"The Homeless",49,2,6,4,NA
86,"The Homeless",36,2,6,3,NA
87,"Housing Insecurity",67,1,3,2,NA
88,"The Homeless",30,2,5,3,NA
89,"Housing Insecurity",33,1,5,3,NA
90,"Housing Insecurity",57,2,4,2,NA
91,"The Homeless",39,2,3,2,NA
92,"Housing Insecurity",56,1,3,1,NA
93,"The Homeless",47,2,5,4,NA
94,"Housing Insecurity",19,2,2,4,NA
95,"Housing Insecurity",35,1,3,1,NA
96,"The Homeless",23,2,5,3,NA
97,"Housing Insecurity",29,2,2,3,"thank you for the opportunity!"
98,"Housing Insecurity",31,1,5,2,NA
99,"The Homeless",22,2,5,3,NA
100,"The Homeless",29,2,5,2,NA
101,"The Homeless",38,2,3,2,NA
102,"The Homeless",46,2,6,3,NA
103,"Housing Insecurity",37,2,5,3,"best wishes. everything was great."
104,"The Homeless",37,2,6,3,NA
105,"Housing Insecurity",37,2,2,1,NA
106,"Housing Insecurity",36,1,3,2,NA
107,"The Homeless",32,1,6,5,NA
108,"Housing Insecurity",19,1,2,4,NA
109,"The Homeless",22,2,5,3,NA
110,"Housing Insecurity",41,2,5,3,NA
111,"The Homeless",25,2,3,2,NA
112,"Housing Insecurity",23,2,5,1,NA
113,"The Homeless",33,1,6,4,NA
114,"Housing Insecurity",25,1,2,1,NA
115,"The Homeless",32,1,2,2,NA
116,"The Homeless",61,2,5,3,NA
117,"The Homeless",22,2,5,3,NA
118,"Housing Insecurity",37,2,5,4,NA
119,"The Homeless",40,2,3,1,NA
120,"Housing Insecurity",29,2,5,4,NA
121,"Housing Insecurity",43,2,5,3,NA
122,"Housing Insecurity",61,1,5,3,NA
123,"The Homeless",46,2,4,4,NA
124,"The Homeless",28,1,2,2,NA
125,"Housing Insecurity",28,2,5,4,NA
126,"Housing Insecurity",27,1,2,1,NA
127,"Housing Insecurity",21,2,3,3,NA
128,"Housing Insecurity",30,1,5,4,NA
129,"The Homeless",32,1,3,3,NA
130,"The Homeless",25,1,5,3,NA
131,"Housing Insecurity",73,2,5,2,NA
132,"The Homeless",58,2,6,2,NA
133,"Housing Insecurity",28,1,4,2,NA
134,"The Homeless",48,1,5,3,NA
135,"Housing Insecurity",61,1,5,3,NA
136,"Housing Insecurity",46,1,5,4,NA
137,"The Homeless",45,1,3,1,NA
138,"Housing Insecurity",27,1,3,3,NA
139,"The Homeless",35,1,5,3,NA
140,"The Homeless",30,1,5,3,NA
141,"The Homeless",21,2,6,4,NA
142,"The Homeless",44,2,6,4,NA
143,"The Homeless",26,3,6,4,NA
144,"Housing Insecurity",38,2,5,3,NA
145,"Housing Insecurity",50,2,4,3,NA
146,"The Homeless",56,2,5,4,NA
147,"The Homeless",45,1,3,1,NA
148,"The Homeless",21,2,3,2,NA
149,"Housing Insecurity",45,1,2,1,NA
150,"The Homeless",34,1,5,4,NA
151,"Housing Insecurity",23,2,5,2,NA
152,"Housing Insecurity",69,1,3,3,NA
153,"The Homeless",37,1,3,2,"enjoyed it thanks!"
154,"The Homeless",34,2,6,4,"n/a"
155,"The Homeless",30,2,3,4,NA
156,"The Homeless",41,1,5,3,NA
157,"Housing Insecurity",28,2,2,1,NA
159,"Housing Insecurity",24,1,5,3,NA
160,"Housing Insecurity",70,2,5,4,NA
161,"Housing Insecurity",34,2,5,1,NA
162,"The Homeless",47,2,5,5,NA
163,"The Homeless",26,1,5,1,NA
164,"The Homeless",41,2,5,4,"thank you"
165,"The Homeless",25,2,3,3,NA
166,"Housing Insecurity",45,1,6,4,NA
167,"The Homeless",30,2,5,4,NA
168,"Housing Insecurity",36,2,3,2,NA
169,"Housing Insecurity",32,3,3,1,"thanks"
170,"Housing Insecurity",64,2,2,3,"thank you! have a great week"
171,"Housing Insecurity",55,2,3,3,NA
172,"Housing Insecurity",37,1,5,3,NA
173,"The Homeless",78,2,5,4,NA
174,"Housing Insecurity",22,1,3,1,NA
175,"The Homeless",35,2,5,4,"good"
176,"The Homeless",28,2,6,3,NA
177,"The Homeless",55,2,2,3,NA
178,"Housing Insecurity",36,2,5,2,NA
179,"The Homeless",32,2,6,4,NA
180,"Housing Insecurity",46,2,5,4,NA
181,"The Homeless",33,1,4,3,"everything worked as intended."
182,"The Homeless",31,2,5,3,NA
183,"The Homeless",38,1,6,4,NA
184,"Housing Insecurity",28,1,2,2,NA
185,"Housing Insecurity",30,2,5,4,NA
186,"Housing Insecurity",36,2,3,3,NA
187,"The Homeless",52,2,4,3,NA
188,"Housing Insecurity",36,1,4,3,NA
189,"The Homeless",24,1,5,3,NA
190,"Housing Insecurity",50,2,5,3,NA
191,"The Homeless",29,1,2,2,NA
192,"The Homeless",37,2,5,3,NA
193,"Housing Insecurity",55,2,3,3,NA
194,"The Homeless",35,2,5,2,NA
195,"The Homeless",40,2,5,3,NA
196,"The Homeless",59,2,5,2,NA
197,"Housing Insecurity",24,2,4,3,NA
198,"Housing Insecurity",60,2,3,1,NA
199,"Housing Insecurity",38,1,5,3,NA
200,"The Homeless",29,2,6,3,NA
201,"Housing Insecurity",32,2,5,4,NA
202,"Housing Insecurity",36,2,4,2,NA
203,"Housing Insecurity",36,1,5,3,NA
204,"The Homeless",33,1,6,4,NA
205,"The Homeless",25,1,5,3,NA
206,"Housing Insecurity",71,2,3,2,"thank you for this study."
207,"Housing Insecurity",30,2,3,3,NA
208,"The Homeless",57,2,3,1,NA
209,"The Homeless",20,2,2,2,NA
210,"The Homeless",21,1,2,3,NA
211,"Housing Insecurity",41,2,5,2,NA
212,"Housing Insecurity",42,2,4,3,NA
213,"Housing Insecurity",78,1,5,4,NA
214,"Housing Insecurity",59,1,6,1,NA
215,"The Homeless",46,2,5,4,NA
216,"Housing Insecurity",50,1,5,3,NA
217,"The Homeless",22,1,5,1,NA
218,"The Homeless",38,2,2,2,NA
219,"The Homeless",18,1,3,1,NA
220,"Housing Insecurity",23,2,5,3,NA
221,"The Homeless",21,2,2,2,NA
222,"Housing Insecurity",30,2,5,3,NA
224,"Housing Insecurity",58,2,6,2,NA
225,"The Homeless",36,2,5,2,NA
226,"Housing Insecurity",52,2,3,4,"thank you for this survey.  every little bit earned ensures i am able to remain housed."
227,"Housing Insecurity",36,1,2,2,NA
228,"The Homeless",45,2,3,3,NA
229,"Housing Insecurity",27,1,5,3,NA
230,"The Homeless",38,2,5,4,NA
231,"Housing Insecurity",28,2,2,2,NA
232,"The Homeless",38,1,2,3,NA
233,"Housing Insecurity",30,1,5,5,NA
234,"The Homeless",34,2,2,2,NA
235,"Housing Insecurity",51,2,3,4,NA
236,"Housing Insecurity",65,1,3,1,"very interesting exercise!"
237,"Housing Insecurity",36,2,3,2,NA
238,"The Homeless",25,1,5,3,NA
239,"The Homeless",43,2,3,3,NA
240,"The Homeless",61,2,4,3,NA
241,"Housing Insecurity",49,2,6,3,NA
242,"Housing Insecurity",43,1,6,4,NA
243,"The Homeless",30,1,5,3,NA
245,"The Homeless",33,1,5,3,NA
246,"The Homeless",36,1,2,3,NA
247,"Housing Insecurity",24,2,4,2,NA
248,"The Homeless",47,2,5,2,"thank you"
249,"Housing Insecurity",61,2,3,4,NA
250,"Housing Insecurity",28,2,5,2,NA
252,"Housing Insecurity",19,1,3,4,NA
253,"The Homeless",48,2,3,2,NA
254,"The Homeless",34,1,6,4,NA
255,"Housing Insecurity",30,2,5,4,NA
256,"The Homeless",26,2,6,1,NA
257,"Housing Insecurity",61,2,4,1,NA
258,"Housing Insecurity",32,2,4,1,":)"
259,"Housing Insecurity",38,2,3,2,NA
260,"The Homeless",61,2,5,1,NA
261,"The Homeless",37,2,5,2,"nice study"
