StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,native,primary,early_language,consent,Prolific_ID,general_1,general_2,stigma_resp_1,stigma_dist_1,stigma_resp_2,stigma_dist_2,stigma_dist_3,stigma_danger,check,stertyp_cmptition_1,stertyp_cmptition_2,concept_1,concept_2,concept_3,stertyp_comp_1,stertyp_warm_1,stertyp_status_1,stertyp_warm_2,stertyp_status_2,stertyp_comp_2,donate_1,donate_2,donate_3,familiar_1,familiar_2,like,like_fr,offens,offens_fr,impression_1,impression_2,impression_3,impression_3_4_TEXT,control_like,control_often,control_preference,empathy_1,empathy_2,empathy_3,political_social,political_econ,experience_1,experience_2,experience_3,demo_age,demo_gender,demo_education,demo_income,comment,PROLIFIC_PID,Q_BallotBoxStuffing,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,not_pc_label,pc_label,SliderOverlapValue,label
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your native language?,Which language(s) do you mainly speak?,Which language(s) did you speak earliest in your life?,"Consent Form 

Agreement to Participate in Research
The University of Chicago



You are invited to participate in a research study involving language and decision-making. You will be further briefed on the nature of the experiment after you have completed the study.



Benefits. The benefits of participating in this study include the opportunity to contribute to empirical research.



Compensation and duration. You will receive $2.6. The experiment should last a total of no more than 13 minutes.



Risks. There are minimal foreseeable physical or emotional risks involved.



Confidentiality. Your data will be recorded, analyzed, and kept on file for the sake of possible future analysis, but they will be kept completely confidential. We will maintain confidentiality by keeping your data under lock, and by separating your identity from the data when coding and analyzing them so that others will not be able to connect you with your data.



Your rights. Your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty. You have the right to refuse to answer particular questions or perform any task. If for any reason you do not complete the experiment, you will still be compensated in proportion to the time you spent on the experiment. In addition, your privacy will be maintained in all published and written data resulting from this study.



Questions or concerns. If you have any questions regarding this study please contact the PI, Boaz Keysar at 773 702-5830, 5848 S. University Ave./Beecher 213, Chicago IL, 60637, or via e-mail at: boaz@.uchicago.edu If you have any concerns or are dissatisfied at any time with any aspect of this study, you may report your grievances -- anonymously, if you wish -- to the Social and Behavioral IRB Office.



Social and Behavioral IRB Office 1155 E. 60th Street, Room 414 Chicago, IL 60637 773-834-7835; sbs-irb@uchicago.edu



By clicking “Agree” below, you confirm that you have read the consent form and agree to participate in the research. The survey will end if you do NOT agree.","What is your Prolific ID?
Please note that this response should auto-fill with the correct ID.","Please use one or more sentences to describe [Field-label]. What associations come spontaneously to mind when you hear the term ""[Field-label]""?","Imagine that you meet someone who is part of the following community: [Field-label]. 

Please briefly describe this person.",How much do you agree with the following statements? - [Field-label] are responsible for their condition.,How much do you agree with the following statements? - It is better to be away from [Field-label].,How much do you agree with the following statements? - What happens to [Field-label] could be due to social factors.,How much do you agree with the following statements? - I would be willing to make personal friendships with [Field-label].,How much do you agree with the following statements? - I would be willing to have [Field-label] as citizens of my country.,How much do you agree with the following statements? - [Field-label] are dangerous.,How much do you agree with the following statements? - Please select Somewhat disagree.,"How much do you agree with the following statements? - If [Field-label] gets special breaks, this is likely to make things more difficult for people like me.",How much do you agree with the following statements? - The resources spent on [Field-label]  could have been spent on me.,How likely do you think [Field-label] are to have access to shelter or a temporary place to stay?,How would you imagine the current employment status of [Field-label]?,How long would you imagine the current housing situation for [Field-label] to last?,Please rate the following based on your feelings. - How competent are [Field-label]?,Please rate the following based on your feelings. - How sincere are [Field-label]?,Please rate the following based on your feelings. - How well educated are [Field-label]?,Please rate the following based on your feelings. - How warmhearted  are [Field-label]?,Please rate the following based on your feelings. - How economically successful are [Field-label]?,Please rate the following based on your feelings. - How confident are [Field-label]?,"We, as researchers, would like to donate $100 to three charities and need your help to distribute them across the following three charities.


Please distribute $100 as you see fit. - <strong>Covenant House &ndash; For ${e://Field/label}</strong>: It is one of the largest charities in North America, providing immediate and long-term support for ${e://Field/label} in youth. They provide housing and support services to ${e://Field/label} to help them transform their lives and put them on a path to independence.","We, as researchers, would like to donate $100 to three charities and need your help to distribute them across the following three charities.


Please distribute $100 as you see fit. - <strong>Save the Children</strong>: A nonprofit organization that addresses children&#39;s unique needs, giving them a healthy start in life, the opportunity to learn and protection from harm. They work in the hardest-to-reach places, where it&rsquo;s toughest to be a child.","We, as researchers, would like to donate $100 to three charities and need your help to distribute them across the following three charities.


Please distribute $100 as you see fit. - <strong>American Society for the Prevention of Cruelty to Animals (ASPCA)</strong>: This organization focuses on animal rescue and protection. They have led the way in fighting cruelty, rescuing and securing adoptions for animals in need, and driving significant legislative change that protects their lives and welfare&mdash;ultimately transforming how Americans value and care for animals.<br />
&nbsp;","How familiar are you with the term ""[Field-not_pc_label]"" in general?","How familiar you are with the term ""[Field-pc_label]"" in general?",Which term do you like better for your personal use of language?,Why do you prefer this term: [QID28-ChoiceGroup-SelectedChoices]? Explain briefly in at least one sentence.,Which term do you find less offensive?,"Why do you think ""[QID29-ChoiceGroup-SelectedChoices]"" is less offensive? Explain briefly in at least one sentence.","How do you perceive someone who uses the term ""[Field-not_pc_label]"" when describing a person or a group? Explain briefly in at least one sentence.","How do you perceive someone who uses the term ""[Field-pc_label]"" when describing a person or a group? Explain briefly in at least one sentence.",Which terms do you find more politically correct? - Selected Choice,Which terms do you find more politically correct? - Neither - Text,How much do you like political correctness?,How often do you use politically correct language?,How do you typically prefer to use language when you engage in political conversations with others?,Please select how well the following statements apply to you. - I understand people’s feelings from their behavior.,"Please select how well the following statements apply to you. - Seeing a person is made surprised, I feel excited too.",Please select how well the following statements apply to you. - I get scared of the characters in horror movies.,How would you describe your political outlook with regard to social issues?,How would you describe your political outlook with regard to economic issues?,"Have you or someone close to you ever experienced housing insecurity? (Please select all that apply.) - Yes, I have personally experienced housing insecurity.","Have you or someone close to you ever experienced housing insecurity? (Please select all that apply.) - Yes, someone close to me has experienced housing insecurity.","Have you or someone close to you ever experienced housing insecurity? (Please select all that apply.) - No, neither I nor anyone close to me has experienced housing insecurity.",How old are you (in years)?,Which of the following best describes your gender?,What is your highest level of education?,What was your total household income before taxes during the past 12 months?,"Finally, do you have any questions or comments? If so, feel free to enter them in the box below.",PROLIFIC_PID,Q_BallotBoxStuffing,Q_RecaptchaScore,Q_RelevantIDDuplicate,Q_RelevantIDDuplicateScore,Q_RelevantIDFraudScore,not_pc_label,pc_label,SliderOverlapValue,label
"{""ImportId"":""startDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""endDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Chicago""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID1217876507""}","{""ImportId"":""QID60_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID52_2""}","{""ImportId"":""QID52_3""}","{""ImportId"":""QID52_4""}","{""ImportId"":""QID58_5""}","{""ImportId"":""QID58_6""}","{""ImportId"":""QID58_16""}","{""ImportId"":""QID58_7""}","{""ImportId"":""QID58_8""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID13""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID54_3""}","{""ImportId"":""QID59_4""}","{""ImportId"":""QID59_5""}","{""ImportId"":""QID59_6""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID29""}","{""ImportId"":""QID57_TEXT""}","{""ImportId"":""QID70_TEXT""}","{""ImportId"":""QID32_TEXT""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_4_TEXT""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID35_6""}","{""ImportId"":""QID35_7""}","{""ImportId"":""QID35_8""}","{""ImportId"":""QID41""}","{""ImportId"":""QID62""}","{""ImportId"":""QID44"",""choiceId"":""1""}","{""ImportId"":""QID44"",""choiceId"":""2""}","{""ImportId"":""QID44"",""choiceId"":""3""}","{""ImportId"":""QID38_TEXT""}","{""ImportId"":""QID39""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""Q_RelevantIDDuplicate""}","{""ImportId"":""Q_RelevantIDDuplicateScore""}","{""ImportId"":""Q_RelevantIDFraudScore""}","{""ImportId"":""not_pc_label""}","{""ImportId"":""pc_label""}","{""ImportId"":""SliderOverlapValue""}","{""ImportId"":""label""}"
2024-12-10 14:21:59,2024-12-10 14:23:18,0,204.242.0.137,100,79,1,2024-12-10 14:23:19,R_3Yf9jiiX2uxIeV8,,,,,39.0469,-77.4903,anonymous,EN,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,675345b32d636f68b81a386b,,,,,,,,,
2024-12-10 14:19:52,2024-12-10 14:29:41,0,66.41.39.215,100,588,1,2024-12-10 14:29:41,R_6oBkmMRESKcMpkR,,,,,45.1692,-93.2487,anonymous,EN,1,1,1,1,66573c811d17794993965781,"When I think of people who experience housing insecurity, I think of people who are insecure with the house they own. They either want a bigger better house, or they are about to lose their house.","This person isn't happy with their life, they want better. They are sad and ashamed of what 'little' they have.",3,4,3,3,3,3,2,2,2,2,3,3,4,4,3,3,1,1,33,33,34,5,1,1,"I just know what it means, I have never heard the term housing insecurity before. It makes them sound ashamed.",1,It sounds less harsh than insecurity,I don't perceive it in any way. That's what its always been called.,Not the best. It makes them sound sad and ashamed. Insecurity is not the term I would use.,1,,4,3,2,4,5,5,6,6,,,1,24,2,2,3,,66573c811d17794993965781,,,,,,the homeless,people who experience housing insecurity,62,people who experience housing insecurity
2024-12-10 14:21:49,2024-12-10 14:31:01,0,172.56.76.193,100,551,1,2024-12-10 14:31:02,R_1YLGrq3RgJMyGXa,,,,,28.6225,-81.4317,anonymous,EN,1,1,1,1,658121a04136c30adcc5c7ad,"Bad luck, drug use, unemployment","The person is homeless, but is kind and a person with feelings. Treat them with respect.",4,2,4,4,4,2,2,1,1,4,3,2,2,3,2,3,1,2,33,34,33,4,3,2,"I prefer this term because it sounds less derogatory. ",2,"It sounds less offensive because when people hear the word ""homeless"", most of the time, they automatically think the homeless person is a drug user.",Neutral - it could be because the person did not think of an alternative word fast enough.,"I prefer this term, as I believe people who use this term are trying to help the homeless person not look as embarrassed.",2,,4,4,2,3,3,2,2,2,1,,,52,1,2,3,,658121a04136c30adcc5c7ad,,,,,,the homeless,people who experience housing insecurity,82,the homeless
2024-12-10 14:23:29,2024-12-10 14:31:29,0,68.122.9.108,100,480,1,2024-12-10 14:31:30,R_5zPha29snZQH5T3,,,,,35.0324,-89.8145,anonymous,EN,1,1,1,1,67113167abb272a9a5defc3f,"These people are homeless, may have lost their jobs or may have mental health and substance issues.",Someone who does not have enough money to afford a stable place to live long term.,2,3,4,3,4,3,2,2,2,4,3,3,2,2,2,2,1,1,40,60,0,5,5,1,"I personally don't really care to dress up this language the way a lot of people do these days. Homeless is homeless. I think it's good to raise awareness that not all homeless people are scary and dangerous, though. But I don't think the phrase ""homeless"" should be considered offensive.",1,"This term is more straight to the point and does not beat around the bush. To me, the other phrase feels insincere and performative without really making a tangible difference.","I would perceive them the same way I would perceive most normal people. Probably aren't super into the ""woke"" era of having to use fluffy terms to describe everything.","This person is probably chronically online, probably younger.",3,,3,8,3,4,4,5,6,6,,1,,26,2,5,4,,67113167abb272a9a5defc3f,,,,,,the homeless,people who experience housing insecurity,100,people who experience housing insecurity
2024-12-10 14:23:57,2024-12-10 14:32:04,0,99.190.2.215,100,486,1,2024-12-10 14:32:04,R_3kHtJqfMmQ0f79I,,,,,36.013,-95.9767,anonymous,EN,1,1,1,1,6690a9a3ac6ca29d3ed7f317,"When I hear the term ""people who experience housing insecurity"", I think of homeless people.","Based on personal experience in my area, this person has a long history of drug use/abuse, is unemployed and can be violent/aggressive.",4,5,4,3,5,4,2,2,3,4,4,1,3,4,2,3,1,1,50,50,0,5,5,1,"It is shorter, easier to say.",2,It is the most politically correct description.,"I do not have any particular perceptions of someone who uses the term ""homeless"".
",I see them as someone who cares a lot about how they speak and how others feel about their words.,3,,2,3,2,4,3,5,1,1,,,1,33,2,5,3,,6690a9a3ac6ca29d3ed7f317,,,,,,the homeless,people who experience housing insecurity,72,people who experience housing insecurity
2024-12-10 14:21:21,2024-12-10 14:36:42,0,73.99.86.62,100,920,1,2024-12-10 14:36:43,R_10p9ActrrRt1RCa,,,,,38.5965,-78.8156,anonymous,EN,1,1,4,1,6747bb4b92d0b9e4495853c0,"Unfortunate circumstances and a cruel world. I believe that homeless people were more likely to have certain socioeconomic traits that contribute to their current situation. It serves as a negative feedback loop where these traits (smoking, alcoholism, drug use, gambling) feed into each other and make the situation worse. Ultimately, the worst part of being homeless is becoming invisible to society.","This person has lost a bit of themselves: their personality, their whimsy, their empathy all in the name of survival. Everything that would be considered socially conventional is thrown out the window as they battle physical and psychological challenges. They are beaten and bruised mentally and physically, and have no choice but to sustain it and become numb to it. At times, this may result in feeding into destructive habits.",2,3,5,5,5,2,2,1,1,1,3,4,3,4,2,3,1,2,35,60,5,5,5,1,"While generally I prefer terms that seem less charged, referring to it as ""housing insecurity"" doesn't do it justice to refer to the severity of the issue. ""The homeless"" hits a bit harder.",2,"Simply put, terse labels are often generalized too often and abused to insult a group. I believe this term is comparable to ""the immigrants"" and ""the felons"" where it has a negative connotation in a lot of discussions.","I generally lean towards them as having a weak, baseless understanding of the issue.",I assume they are educated on the subject.,2,,5,8,3,4,4,1,7,6,,1,,21,1,5,1,,6747bb4b92d0b9e4495853c0,,,,,,the homeless,people who experience housing insecurity,72,the homeless
2024-12-10 14:25:24,2024-12-10 14:37:29,0,73.180.124.2,100,724,1,2024-12-10 14:37:29,R_3oMg1MZ3pklvmEj,,,,,32.853,-79.9876,anonymous,EN,1,1,1,1,60b98567e2d17c3d44747f61,The people who under certain circumstances do not have a place to stay..,A person who is out on their luck with finding a place to stay or a job to keep.,4,2,5,4,5,2,2,1,2,4,3,2,4,4,3,5,1,3,30,60,10,3,4,1,It is straightforward and towards the fact that they do not have a place to stay.,2,It seems as though with detail it gives more understanding to the plight of the person.,I would believe that the person would be a bit more insensitive or straight-forward in addressing the person or group as homeless.,I think they are trying to explain the matter with more tact.,2,,5,5,3,4,3,2,6,6,1,,,34,2,3,2,,60b98567e2d17c3d44747f61,,,,,,the homeless,people who experience housing insecurity,68,the homeless
2024-12-10 14:17:29,2024-12-10 14:37:50,0,97.125.60.49,100,1221,1,2024-12-10 14:37:51,R_3Al3IhCLS0TzHzj,,,,,41.7136,-93.6221,anonymous,EN,1,1,1,1,5f8164fb7caf8a20cfb083d2,"Cold, wandering people who live by the river but not off the land. Mental health issues obstruct their path to community. So they create a feral community of their own. ","Dirty clothes and hair, seek or avoid eye contact, everything they own at their feet. ",2,2,5,4,5,3,2,1,2,1,4,4,2,3,2,3,1,2,33,33,34,2,3,1,"The other term is too long to say. For communication everyone knows what homeless means. ",2,"Because homeless the term is already saturated with feelings and emotions. The word has layers of meaning and PWEHI is new and has no connected connotations. ","It depends on what they are saying about the homeless. If it is not offensive, I assume they are communicating in easy-to-understand language. ","I presume they are a social worker or someone who works with PWEHI. ",3,,3,5,3,3,4,3,6,6,,1,,53,2,5,2,,5f8164fb7caf8a20cfb083d2,,,,,,the homeless,people who experience housing insecurity,60,the homeless
