"native","primary","early_language","general_1","general_2","stigma_resp_1","stigma_dist_1","stigma_resp_2","stigma_dist_2","stigma_dist_3","stigma_danger","check","stertyp_cmptition_1","stertyp_cmptition_2","concept_1","concept_2","concept_3","stertyp_comp_1","stertyp_warm_1","stertyp_status_1","stertyp_warm_2","stertyp_status_2","stertyp_comp_2","donate_1","donate_2","donate_3","familiar_1","familiar_2","like","like_fr","offens","offens_fr","impression_1","impression_2","impression_3","impression_3_4_TEXT","control_like","control_often","control_preference","empathy_1","empathy_2","empathy_3","political_social","political_econ","experience_1","experience_2","experience_3","demo_age","demo_gender","demo_education","demo_income","SliderOverlapValue","label","ppt_ID"
1,1,1,"When I think of people who experience housing insecurity, I think of people who are insecure with the house they own. They either want a bigger better house, or they are about to lose their house.","This person isn't happy with their life, they want better. They are sad and ashamed of what 'little' they have.",3,4,3,3,3,3,2,2,2,2,3,3,4,4,3,3,1,1,33,33,34,5,1,1,"I just know what it means, I have never heard the term housing insecurity before. It makes them sound ashamed.",1,"It sounds less harsh than insecurity","I don't perceive it in any way. That's what its always been called.","Not the best. It makes them sound sad and ashamed. Insecurity is not the term I would use.",1,NA,4,3,2,4,5,5,6,6,NA,NA,1,24,2,2,3,62,"people who experience housing insecurity",1
1,1,1,"Bad luck, drug use, unemployment","The person is homeless, but is kind and a person with feelings. Treat them with respect.",4,2,4,4,4,2,2,1,1,4,3,2,2,3,2,3,1,2,33,34,33,4,3,2,"I prefer this term because it sounds less derogatory.",2,"It sounds less offensive because when people hear the word ""homeless"", most of the time, they automatically think the homeless person is a drug user.","Neutral - it could be because the person did not think of an alternative word fast enough.","I prefer this term, as I believe people who use this term are trying to help the homeless person not look as embarrassed.",2,NA,4,4,2,3,3,2,2,2,1,NA,NA,52,1,2,3,82,"the homeless",2
1,1,1,"These people are homeless, may have lost their jobs or may have mental health and substance issues.","Someone who does not have enough money to afford a stable place to live long term.",2,3,4,3,4,3,2,2,2,4,3,3,2,2,2,2,1,1,40,60,0,5,5,1,"I personally don't really care to dress up this language the way a lot of people do these days. Homeless is homeless. I think it's good to raise awareness that not all homeless people are scary and dangerous, though. But I don't think the phrase ""homeless"" should be considered offensive.",1,"This term is more straight to the point and does not beat around the bush. To me, the other phrase feels insincere and performative without really making a tangible difference.","I would perceive them the same way I would perceive most normal people. Probably aren't super into the ""woke"" era of having to use fluffy terms to describe everything.","This person is probably chronically online, probably younger.",3,NA,3,8,3,4,4,5,6,6,NA,1,NA,26,2,5,4,100,"people who experience housing insecurity",3
1,1,1,"When I hear the term ""people who experience housing insecurity"", I think of homeless people.","Based on personal experience in my area, this person has a long history of drug use/abuse, is unemployed and can be violent/aggressive.",4,5,4,3,5,4,2,2,3,4,4,1,3,4,2,3,1,1,50,50,0,5,5,1,"It is shorter, easier to say.",2,"It is the most politically correct description.","I do not have any particular perceptions of someone who uses the term ""homeless"".
","I see them as someone who cares a lot about how they speak and how others feel about their words.",3,NA,2,3,2,4,3,5,1,1,NA,NA,1,33,2,5,3,72,"people who experience housing insecurity",4
1,1,4,"Unfortunate circumstances and a cruel world. I believe that homeless people were more likely to have certain socioeconomic traits that contribute to their current situation. It serves as a negative feedback loop where these traits (smoking, alcoholism, drug use, gambling) feed into each other and make the situation worse. Ultimately, the worst part of being homeless is becoming invisible to society.","This person has lost a bit of themselves: their personality, their whimsy, their empathy all in the name of survival. Everything that would be considered socially conventional is thrown out the window as they battle physical and psychological challenges. They are beaten and bruised mentally and physically, and have no choice but to sustain it and become numb to it. At times, this may result in feeding into destructive habits.",2,3,5,5,5,2,2,1,1,1,3,4,3,4,2,3,1,2,35,60,5,5,5,1,"While generally I prefer terms that seem less charged, referring to it as ""housing insecurity"" doesn't do it justice to refer to the severity of the issue. ""The homeless"" hits a bit harder.",2,"Simply put, terse labels are often generalized too often and abused to insult a group. I believe this term is comparable to ""the immigrants"" and ""the felons"" where it has a negative connotation in a lot of discussions.","I generally lean towards them as having a weak, baseless understanding of the issue.","I assume they are educated on the subject.",2,NA,5,8,3,4,4,1,7,6,NA,1,NA,21,1,5,1,72,"the homeless",5
1,1,1,"The people who under certain circumstances do not have a place to stay..","A person who is out on their luck with finding a place to stay or a job to keep.",4,2,5,4,5,2,2,1,2,4,3,2,4,4,3,5,1,3,30,60,10,3,4,1,"It is straightforward and towards the fact that they do not have a place to stay.",2,"It seems as though with detail it gives more understanding to the plight of the person.","I would believe that the person would be a bit more insensitive or straight-forward in addressing the person or group as homeless.","I think they are trying to explain the matter with more tact.",2,NA,5,5,3,4,3,2,6,6,1,NA,NA,34,2,3,2,68,"the homeless",6
1,1,1,"Cold, wandering people who live by the river but not off the land. Mental health issues obstruct their path to community. So they create a feral community of their own.","Dirty clothes and hair, seek or avoid eye contact, everything they own at their feet.",2,2,5,4,5,3,2,1,2,1,4,4,2,3,2,3,1,2,33,33,34,2,3,1,"The other term is too long to say. For communication everyone knows what homeless means.",2,"Because homeless the term is already saturated with feelings and emotions. The word has layers of meaning and PWEHI is new and has no connected connotations.","It depends on what they are saying about the homeless. If it is not offensive, I assume they are communicating in easy-to-understand language.","I presume they are a social worker or someone who works with PWEHI.",3,NA,3,5,3,3,4,3,6,6,NA,1,NA,53,2,5,2,60,"the homeless",7
1,1,1,"The associations that come to mind are soup kitchens and shelters","I feel this person would probably be seen in old clothes, slightly dirty, and generally unkept",2,3,4,3,5,2,2,1,1,2,3,1,3,2,3,3,1,5,60,20,20,4,1,1,"I prefer the term the homeless because its simply what i grew up with plus its a very general way of speaking about them so it sounds less bad in my opinion.",1,"I think the homeless is less offensive because its a general way of referring to that community of people.","I view someone depending on what they say after using the words the homeless. I think the name has no issues however what you say after can.","If someone used the term ""people who are experiencing housing insecurity"" around me i would be very confused and unsure what they were talking about.",1,NA,4,4,2,3,3,3,5,5,NA,1,NA,20,1,2,1,61,"the homeless",8
1,1,1,"Due to personal history, the first kind of person who comes to mind when hearing this is someone who has made poor decisions, trading housing security for immediate satisfaction in the form of vices.","Desperate, trying to find some way of securing their immediate situation in the short term. They may also be trying to find ways to distract themselves from the situation.",4,2,3,4,4,2,2,2,2,2,3,2,4,2,2,3,2,2,50,40,10,4,1,1,"People who are experiencing housing insecurities is not as clear of a label. I could see that title applying to many people who are not currently homeless, whereas homeless is very clear on which subset of individuals it is referring to and what struggles they specifically are facing.",2,"It's less embarrassing for the individual to phrase it as going through some insecurities as opposed to calling them homeless.","I've never thought of homeless as an offensive term before. As such I probably would not have had a second thought about someone using the term and it would not have affected my perception of them.","I would probably think they're attempting to be kind by using a less embarrassing term and I would respect that. However, as previously said I do think that term is less clear on exactly who it is referring to.",3,NA,5,8,3,4,4,2,6,5,NA,1,NA,28,1,5,3,68,"people who experience housing insecurity",9
1,1,1,"I think that lower income or renters are the ones who experiene this.","Middle income worker with both parents doing work just to get by.",2,1,3,5,5,1,2,3,3,4,1,4,4,4,4,4,4,4,5,10,85,5,5,1,"That explaines it. I thought housing insecurities makes it sound like those that do not have a secure home, IE: renters, or a job you could lose anytime, not people who are homeless.",1,"Because explaining what someone is can not be offensive.Its a fact, they do not have a current home.","That they understand that this homeless person has no home to go to.","Someone full of fear that just does as told.",1,NA,4,4,2,4,4,5,2,2,NA,NA,1,49,2,3,3,48,"people who experience housing insecurity",10
