"ppt_ID","label","demo_age","demo_gender","demo_education","demo_income","comment"
1,"people who experience housing insecurity",24,2,2,3,NA
2,"the homeless",52,1,2,3,NA
3,"people who experience housing insecurity",26,2,5,4,NA
4,"people who experience housing insecurity",33,2,5,3,NA
5,"the homeless",21,1,5,1,NA
6,"the homeless",34,2,3,2,NA
7,"the homeless",53,2,5,2,NA
8,"the homeless",20,1,2,1,NA
9,"people who experience housing insecurity",28,1,5,3,NA
10,"people who experience housing insecurity",49,2,3,3,"no"
11,"the homeless",38,2,4,4,NA
12,"the homeless",26,2,2,3,NA
13,"the homeless",27,2,6,3,NA
14,"people who experience housing insecurity",35,2,5,4,NA
15,"the homeless",55,2,3,1,NA
16,"people who experience housing insecurity",38,2,3,3,NA
17,"people who experience housing insecurity",47,2,3,3,NA
18,"people who experience housing insecurity",28,2,5,3,"No"
19,"the homeless",37,2,5,2,NA
20,"people who experience housing insecurity",20,2,2,2,NA
21,"people who experience housing insecurity",37,2,3,2,NA
22,"people who experience housing insecurity",58,2,5,4,NA
23,"the homeless",24,1,5,1,NA
24,"the homeless",28,2,6,4,NA
25,"people who experience housing insecurity",56,2,5,5,NA
26,"the homeless",29,2,4,2,NA
27,"the homeless",23,2,3,3,"Thank you for letting me participate!"
28,"people who experience housing insecurity",38,2,4,3,NA
29,"people who experience housing insecurity",40,1,2,3,NA
30,"people who experience housing insecurity",29,1,3,3,NA
31,"the homeless",41,2,3,4,NA
32,"people who experience housing insecurity",23,1,6,4,"The survey was amazing"
33,"people who experience housing insecurity",64,1,7,4,NA
34,"people who experience housing insecurity",43,2,3,3,NA
35,"the homeless",40,2,5,4,NA
36,"the homeless",44,1,5,5,NA
37,"the homeless",36,1,2,2,NA
38,"the homeless",48,2,6,4,NA
39,"people who experience housing insecurity",28,2,5,1,NA
40,"the homeless",31,1,5,3,NA
41,"people who experience housing insecurity",62,2,2,2,NA
42,"the homeless",32,2,3,3,NA
43,"the homeless",28,2,5,2,NA
44,"people who experience housing insecurity",46,2,5,2,NA
45,"people who experience housing insecurity",67,2,2,1,"NO questions but very important study. Thank you"
46,"people who experience housing insecurity",33,1,5,4,NA
47,"the homeless",26,2,3,4,NA
48,"the homeless",32,1,4,3,NA
49,"the homeless",30,1,3,1,"Political correctness is a plague on the human soul."
50,"the homeless",46,1,5,4,NA
51,"the homeless",63,2,2,3,NA
52,"the homeless",43,2,3,1,NA
53,"people who experience housing insecurity",44,1,5,4,"good"
54,"the homeless",67,2,5,4,NA
55,"the homeless",21,2,4,4,"N/A"
56,"people who experience housing insecurity",33,2,6,3,NA
57,"people who experience housing insecurity",24,1,6,1,"No"
58,"people who experience housing insecurity",34,1,5,3,NA
59,"the homeless",22,2,5,4,"this very educational"
60,"the homeless",42,1,5,4,NA
61,"the homeless",34,1,3,1,NA
62,"the homeless",39,2,5,3,NA
63,"the homeless",52,2,3,3,NA
64,"people who experience housing insecurity",27,1,5,3,NA
65,"people who experience housing insecurity",18,1,3,4,NA
66,"people who experience housing insecurity",25,1,5,4,"more studies"
67,"the homeless",37,2,4,4,NA
68,"people who experience housing insecurity",38,2,5,3,NA
69,"people who experience housing insecurity",39,1,2,3,"No comment"
70,"the homeless",46,2,3,1,NA
71,"the homeless",55,2,5,2,NA
72,"the homeless",26,1,5,3,NA
73,"people who experience housing insecurity",74,1,5,2,NA
74,"people who experience housing insecurity",57,1,5,2,"I didn't notice any errors or typos and had no issues at all, thank you!"
75,"people who experience housing insecurity",28,2,3,2,"I do not."
76,"people who experience housing insecurity",24,2,5,3,NA
77,"the homeless",23,1,3,4,NA
78,"the homeless",64,2,2,1,NA
79,"people who experience housing insecurity",39,2,2,3,NA
80,"the homeless",25,2,2,1,NA
81,"people who experience housing insecurity",29,2,2,2,NA
82,"the homeless",41,1,3,1,"none"
83,"people who experience housing insecurity",52,2,5,4,NA
84,"people who experience housing insecurity",20,2,5,3,NA
85,"the homeless",49,2,6,4,NA
86,"the homeless",36,2,6,3,NA
87,"people who experience housing insecurity",67,1,3,2,NA
88,"the homeless",30,2,5,3,NA
89,"people who experience housing insecurity",33,1,5,3,"No comment"
90,"people who experience housing insecurity",57,2,4,2,NA
91,"the homeless",39,2,3,2,"no"
92,"people who experience housing insecurity",56,1,3,1,NA
93,"the homeless",47,2,5,4,NA
94,"people who experience housing insecurity",19,2,2,4,NA
95,"people who experience housing insecurity",35,1,3,1,NA
96,"the homeless",23,2,5,3,NA
97,"people who experience housing insecurity",29,2,2,3,"Thank you for the opportunity!"
98,"people who experience housing insecurity",31,1,5,2,NA
99,"the homeless",22,2,5,3,NA
100,"the homeless",29,2,5,2,NA
101,"the homeless",38,2,3,2,NA
102,"the homeless",46,2,6,3,NA
103,"people who experience housing insecurity",37,2,5,3,"Best wishes. Everything was great."
104,"the homeless",37,2,6,3,NA
105,"people who experience housing insecurity",37,2,2,1,NA
106,"people who experience housing insecurity",36,1,3,2,NA
107,"the homeless",32,1,6,5,NA
108,"people who experience housing insecurity",19,1,2,4,NA
109,"the homeless",22,2,5,3,NA
110,"people who experience housing insecurity",41,2,5,3,NA
111,"the homeless",25,2,3,2,NA
112,"people who experience housing insecurity",23,2,5,1,NA
113,"the homeless",33,1,6,4,NA
114,"people who experience housing insecurity",25,1,2,1,NA
115,"the homeless",32,1,2,2,NA
116,"the homeless",61,2,5,3,NA
117,"the homeless",22,2,5,3,NA
118,"people who experience housing insecurity",37,2,5,4,NA
119,"the homeless",40,2,3,1,NA
120,"people who experience housing insecurity",29,2,5,4,NA
121,"people who experience housing insecurity",43,2,5,3,NA
122,"people who experience housing insecurity",61,1,5,3,NA
123,"the homeless",46,2,4,4,NA
124,"the homeless",28,1,2,2,NA
125,"people who experience housing insecurity",28,2,5,4,NA
126,"people who experience housing insecurity",27,1,2,1,NA
127,"people who experience housing insecurity",21,2,3,3,NA
128,"people who experience housing insecurity",30,1,5,4,NA
129,"the homeless",32,1,3,3,NA
130,"the homeless",25,1,5,3,NA
131,"people who experience housing insecurity",73,2,5,2,NA
132,"the homeless",58,2,6,2,NA
133,"people who experience housing insecurity",28,1,4,2,NA
134,"the homeless",48,1,5,3,NA
135,"people who experience housing insecurity",61,1,5,3,NA
136,"people who experience housing insecurity",46,1,5,4,NA
137,"the homeless",45,1,3,1,NA
138,"people who experience housing insecurity",27,1,3,3,NA
139,"the homeless",35,1,5,3,NA
140,"the homeless",30,1,5,3,NA
141,"the homeless",21,2,6,4,"none"
142,"the homeless",44,2,6,4,NA
143,"the homeless",26,3,6,4,NA
144,"people who experience housing insecurity",38,2,5,3,NA
145,"people who experience housing insecurity",50,2,4,3,NA
146,"the homeless",56,2,5,4,NA
147,"the homeless",45,1,3,1,NA
148,"the homeless",21,2,3,2,NA
149,"people who experience housing insecurity",45,1,2,1,"Very interesting, thanks for asking my opinions. Have a great afternoon."
150,"the homeless",34,1,5,4,NA
151,"people who experience housing insecurity",23,2,5,2,NA
152,"people who experience housing insecurity",69,1,3,3,NA
153,"the homeless",37,1,3,2,"Enjoyed it thanks!"
154,"the homeless",34,2,6,4,"N/A"
155,"the homeless",30,2,3,4,NA
156,"the homeless",41,1,5,3,NA
157,"people who experience housing insecurity",28,2,2,1,NA
158,"the homeless",52,2,4,2,"No"
159,"people who experience housing insecurity",24,1,5,3,NA
160,"people who experience housing insecurity",70,2,5,4,NA
161,"people who experience housing insecurity",34,2,5,1,NA
162,"the homeless",47,2,5,5,NA
163,"the homeless",26,1,5,1,NA
164,"the homeless",41,2,5,4,"thank you"
165,"the homeless",25,2,3,3,NA
166,"people who experience housing insecurity",45,1,6,4,"I am liberal but I do find political correctness to be a bit much at times. I don't mean any ill will when using outdated terms. It is what I grew up with so it is almost like muscle memory. I think what I am saying is give some grace to people who may not always be politically correct. They are probably empathetic and want to help, but chastising their vocabulary is not a good method to bring about change."
